ts,df3
2010-01-01 00:00:00,574.8666666666667
2010-01-01 01:00:00,564.2333333333332
2010-01-01 02:00:00,594.6
2010-01-01 03:00:00,570.0
2010-01-01 04:00:00,561.0666666666667
2010-01-01 05:00:00,582.3999999999999
2010-01-01 06:00:00,571.0666666666665
2010-01-01 07:00:00,565.5333333333333
2010-01-01 08:00:00,583.0999999999998
2010-01-01 09:00:00,567.0666666666667
2010-01-01 10:00:00,572.8666666666667
2010-01-01 11:00:00,593.5333333333333
2010-01-01 12:00:00,566.3333333333336
2010-01-01 13:00:00,855.266666666667
2010-01-01 14:00:00,757.5333333333338
2010-01-01 15:00:00,692.4333333333336
2010-01-01 16:00:00,1008.9333333333334
2010-01-01 17:00:00,984.1999999999997
2010-01-01 18:00:00,411.0666666666668
2010-01-01 19:00:00,366.0666666666668
2010-01-01 20:00:00,392.7666666666668
2010-01-01 21:00:00,370.66666666666674
2010-01-01 22:00:00,362.3
2010-01-01 23:00:00,547.3000000000002
2010-01-02 00:00:00,278.0
2010-01-02 01:00:00,253.2
2010-01-02 02:00:00,276.36666666666656
2010-01-02 03:00:00,261.16666666666663
2010-01-02 04:00:00,255.9333333333336
2010-01-02 05:00:00,274.29999999999995
2010-01-02 06:00:00,257.2
2010-01-02 07:00:00,253.86666666666667
2010-01-02 08:00:00,421.90000000000015
2010-01-02 09:00:00,573.0333333333335
2010-01-02 10:00:00,276.6333333333333
2010-01-02 11:00:00,338.03333333333336
2010-01-02 12:00:00,295.99999999999994
2010-01-02 13:00:00,260.96666666666675
2010-01-02 14:00:00,281.00000000000017
2010-01-02 15:00:00,307.3333333333335
2010-01-02 16:00:00,394.63333333333327
2010-01-02 17:00:00,1342.8000000000004
2010-01-02 18:00:00,1643.4
2010-01-02 19:00:00,1567.0666666666668
2010-01-02 20:00:00,1586.9999999999993
2010-01-02 21:00:00,1349.6999999999996
2010-01-02 22:00:00,1018.8333333333335
2010-01-02 23:00:00,522.5666666666666
2010-01-03 00:00:00,319.66666666666674
2010-01-03 01:00:00,296.9333333333331
2010-01-03 02:00:00,305.8333333333332
2010-01-03 03:00:00,286.06666666666666
2010-01-03 04:00:00,297.4333333333336
2010-01-03 05:00:00,306.4333333333332
2010-01-03 06:00:00,279.9666666666668
2010-01-03 07:00:00,291.0999999999999
2010-01-03 08:00:00,504.9666666666668
2010-01-03 09:00:00,483.7333333333333
2010-01-03 10:00:00,700.8999999999997
2010-01-03 11:00:00,424.56666666666655
2010-01-03 12:00:00,761.1333333333331
2010-01-03 13:00:00,621.5000000000002
2010-01-03 14:00:00,982.7333333333332
2010-01-03 15:00:00,1012.7
2010-01-03 16:00:00,846.9333333333333
2010-01-03 17:00:00,1157.833333333333
2010-01-03 18:00:00,1166.966666666667
2010-01-03 19:00:00,1326.8333333333335
2010-01-03 20:00:00,1402.8000000000006
2010-01-03 21:00:00,1308.7666666666667
2010-01-03 22:00:00,489.63333333333327
2010-01-03 23:00:00,312.7999999999999
2010-01-04 00:00:00,339.7
2010-01-04 01:00:00,309.10000000000014
2010-01-04 02:00:00,313.8333333333333
2010-01-04 03:00:00,332.99999999999983
2010-01-04 04:00:00,306.6666666666668
2010-01-04 05:00:00,307.7999999999998
2010-01-04 06:00:00,672.8333333333335
2010-01-04 07:00:00,1451.5999999999995
2010-01-04 08:00:00,306.53333333333336
2010-01-04 09:00:00,332.49999999999994
2010-01-04 10:00:00,311.6666666666668
2010-01-04 11:00:00,315.00000000000006
2010-01-04 12:00:00,342.23333333333335
2010-01-04 13:00:00,311.60000000000014
2010-01-04 14:00:00,320.4
2010-01-04 15:00:00,333.03333333333336
2010-01-04 16:00:00,315.73333333333363
2010-01-04 17:00:00,716.0333333333333
2010-01-04 18:00:00,1586.3666666666666
2010-01-04 19:00:00,1690.3000000000006
2010-01-04 20:00:00,1735.1333333333325
2010-01-04 21:00:00,1543.1999999999994
2010-01-04 22:00:00,1006.1666666666667
2010-01-04 23:00:00,431.10000000000014
2010-01-05 00:00:00,329.03333333333313
2010-01-05 01:00:00,311.6666666666667
2010-01-05 02:00:00,325.63333333333327
2010-01-05 03:00:00,300.66666666666674
2010-01-05 04:00:00,253.09999999999994
2010-01-05 05:00:00,272.93333333333334
2010-01-05 06:00:00,519.0333333333333
2010-01-05 07:00:00,1273.0
2010-01-05 08:00:00,1300.7666666666667
2010-01-05 09:00:00,436.10000000000014
2010-01-05 10:00:00,410.7666666666668
2010-01-05 11:00:00,419.0666666666667
2010-01-05 12:00:00,366.9666666666666
2010-01-05 13:00:00,402.8666666666665
2010-01-05 14:00:00,611.3666666666667
2010-01-05 15:00:00,649.9000000000002
2010-01-05 16:00:00,1257.666666666667
2010-01-05 17:00:00,1685.9
2010-01-05 18:00:00,1500.5666666666666
2010-01-05 19:00:00,1542.1333333333341
2010-01-05 20:00:00,1409.8333333333328
2010-01-05 21:00:00,1280.9666666666667
2010-01-05 22:00:00,1271.5666666666666
2010-01-05 23:00:00,318.8333333333332
2010-01-06 00:00:00,251.9333333333332
2010-01-06 01:00:00,265.73333333333335
2010-01-06 02:00:00,267.53333333333325
2010-01-06 03:00:00,247.53333333333333
2010-01-06 04:00:00,272.03333333333336
2010-01-06 05:00:00,254.8666666666668
2010-01-06 06:00:00,690.0333333333333
2010-01-06 07:00:00,1423.8666666666666
2010-01-06 08:00:00,281.6666666666667
2010-01-06 09:00:00,260.3
2010-01-06 10:00:00,386.70000000000016
2010-01-06 11:00:00,423.1
2010-01-06 12:00:00,369.00000000000006
2010-01-06 13:00:00,549.9666666666667
2010-01-06 14:00:00,332.2000000000002
2010-01-06 15:00:00,300.93333333333334
2010-01-06 16:00:00,273.23333333333323
2010-01-06 17:00:00,390.1
2010-01-06 18:00:00,720.0666666666666
2010-01-06 19:00:00,1289.0666666666666
2010-01-06 20:00:00,1711.6333333333334
2010-01-06 21:00:00,1212.1333333333334
2010-01-06 22:00:00,748.7666666666668
2010-01-06 23:00:00,351.2666666666668
2010-01-07 00:00:00,294.1
2010-01-07 01:00:00,281.40000000000003
2010-01-07 02:00:00,288.26666666666665
2010-01-07 03:00:00,266.30000000000007
2010-01-07 04:00:00,277.7666666666666
2010-01-07 05:00:00,284.1333333333332
2010-01-07 06:00:00,508.29999999999984
2010-01-07 07:00:00,1404.533333333333
2010-01-07 08:00:00,702.7000000000003
2010-01-07 09:00:00,284.53333333333336
2010-01-07 10:00:00,271.5999999999999
2010-01-07 11:00:00,247.39999999999992
2010-01-07 12:00:00,251.9000000000002
2010-01-07 13:00:00,270.9000000000001
2010-01-07 14:00:00,300.1333333333335
2010-01-07 15:00:00,785.2333333333336
2010-01-07 16:00:00,263.63333333333327
2010-01-07 17:00:00,464.63333333333344
2010-01-07 18:00:00,1651.1333333333334
2010-01-07 19:00:00,1949.7666666666669
2010-01-07 20:00:00,1612.2999999999995
2010-01-07 21:00:00,1238.1999999999996
2010-01-07 22:00:00,894.4
2010-01-07 23:00:00,308.4333333333332
2010-01-08 00:00:00,265.49999999999994
2010-01-08 01:00:00,243.9333333333332
2010-01-08 02:00:00,263.36666666666673
2010-01-08 03:00:00,258.8333333333332
2010-01-08 04:00:00,249.39999999999992
2010-01-08 05:00:00,274.76666666666654
2010-01-08 06:00:00,869.0333333333334
2010-01-08 07:00:00,1181.4
2010-01-08 08:00:00,743.2333333333331
2010-01-08 09:00:00,903.9666666666667
2010-01-08 10:00:00,281.29999999999995
2010-01-08 11:00:00,382.4
2010-01-08 12:00:00,557.1666666666667
2010-01-08 13:00:00,373.0333333333333
2010-01-08 14:00:00,495.53333333333313
2010-01-08 15:00:00,495.7333333333332
2010-01-08 16:00:00,482.26666666666665
2010-01-08 17:00:00,1164.5999999999995
2010-01-08 18:00:00,1540.9666666666665
2010-01-08 19:00:00,1802.6333333333328
2010-01-08 20:00:00,1394.2666666666667
